Month,Class,Target
1,FC,120000
2,FC,130000
3,FC,140000
1,BC,85000
2,BC,86000
3,BC,87000
1,PE,40000
2,PE,40500
3,PE,41000
1,E,31000
2,E,31500
3,E,32000
4,FC,160000
5,FC,170000
6,FC,180000
4,BC,88000
5,BC,89000
6,BC,90000
4,PE,42500
5,PE,43000
6,PE,43500
4,E,34000
5,E,34500
6,E,35000
7,FC,190000
8,FC,200000
9,FC,210000
7,BC,92000
8,BC,93000
9,BC,95000
7,PE,46000
8,PE,46500
9,PE,47000
7,E,37000
8,E,37500
9,E,38000
10,FC,220000
11,FC,230000
12,FC,240000
10,BC,98000
11,BC,99000
12,BC,100000
10,PE,48000
11,PE,48500
12,PE,49000
10,E,39000
11,E,39500
12,E,40000
